city,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Mumbai,19.054999,72.8692035,2025-11-23 23:00:00,75.7,76.6,18.7,150.0,38.6,934.0,Moderate
New Delhi,28.6138954,77.2090057,2025-11-23 23:00:00,149.9,151.8,60.4,45.0,37.4,1774.0,Very Poor
Pune,18.5213738,73.8545071,2025-11-23 23:00:00,52.9,53.4,37.6,64.0,24.5,953.0,Satisfactory
Shrirampur,19.6199708,74.6546944,2025-11-23 23:00:00,27.4,27.9,11.1,65.0,5.7,591.0,Good
Vaduj,17.5950822,74.4504661,2025-11-23 23:00:00,52.9,54.1,40.2,34.0,8.6,430.0,Satisfactory
Pushkar,26.4876472,74.5578484,2025-11-23 23:00:00,53.4,55.9,10.6,96.0,14.3,502.0,Satisfactory
Orchha,25.3528706,78.6402465,2025-11-23 23:00:00,72.4,79.2,15.8,74.0,8.8,615.0,Moderate
Phillaur,31.018294,75.7839116,2025-11-23 23:00:00,135.5,136.4,34.2,78.0,28.9,1465.0,Very Poor
Goraya,31.1208324,75.7787046,2025-11-23 23:00:00,135.5,136.4,34.2,78.0,28.9,1250.0,Very Poor
Phagwara,31.2206734,75.7696463,2025-11-23 23:00:00,135.5,136.4,34.2,78.0,28.9,1409.0,Very Poor
Mohali,30.7041168,76.7176885,2025-11-23 23:00:00,80.3,81.5,50.2,31.0,26.0,1228.0,Moderate
Morinda,30.7908462,76.4984505,2025-11-23 23:00:00,137.8,139.7,44.9,51.0,27.1,1087.0,Very Poor
Kurali,30.8314536,76.5784763,2025-11-23 23:00:00,137.8,139.7,44.9,51.0,27.1,1183.0,Very Poor
Rupnagar,30.9688367,76.526088,2025-11-23 23:00:00,137.8,139.7,44.9,51.0,27.1,1087.0,Very Poor
Moga,30.8223408,75.1730967,2025-11-23 23:00:00,140.6,142.5,34.5,78.0,26.3,1113.0,Very Poor
Pahalgam,34.0322048,75.3226479,2025-11-23 23:00:00,49.2,52.4,26.8,41.0,10.6,547.0,Satisfactory
Ambala,30.3843674,76.770421,2025-11-23 23:00:00,110.4,112.0,43.1,46.0,28.2,966.0,Poor
Doraha,30.7988727,76.0372906,2025-11-23 23:00:00,126.2,127.6,28.7,81.0,22.3,1449.0,Very Poor
Sriperumbudur,12.9666144,79.9458077,2025-11-23 23:00:00,9.7,11.6,14.0,51.0,6.2,273.0,Good
Poonamallee,13.0492031,80.1010677,2025-11-23 23:00:00,11.1,13.4,14.4,49.0,5.9,350.0,Good
Sahnewal,30.8402061,75.983601,2025-11-23 23:00:00,126.2,127.6,28.7,81.0,22.3,1449.0,Very Poor
Vellore,12.9071753,79.1309695,2025-11-23 23:00:00,13.6,15.3,15.5,45.0,7.1,247.0,Good
Jagraon,30.8041704,75.4753645,2025-11-23 23:00:00,129.0,130.4,29.8,86.0,25.7,1095.0,Very Poor
Gill,30.846374,75.8628312,2025-11-23 23:00:00,126.2,127.6,28.7,81.0,22.3,1362.0,Very Poor
Dehlon,30.7431327,75.8505198,2025-11-23 23:00:00,126.2,127.6,28.7,81.0,22.3,1258.0,Very Poor
Nagercoil,8.1880471,77.4290492,2025-11-23 23:00:00,3.2,3.2,6.2,54.0,3.2,425.0,Good
Nanguneri,8.4892568,77.6596709,2025-11-23 23:00:00,2.7,2.7,6.0,51.0,2.0,224.0,Good
