city,lat,lon
Mumbai,19.054999,72.8692035
New Delhi,28.6138954,77.2090057
Pune,18.5213738,73.8545071
Shrirampur,19.6199708,74.6546944
Vaduj,17.5950822,74.4504661
Pushkar,26.4876472,74.5578484
Orchha,25.3528706,78.6402465
Phillaur,31.018294,75.7839116
Goraya,31.1208324,75.7787046
Phagwara,31.2206734,75.7696463
Mohali,30.7041168,76.7176885
Morinda,30.7908462,76.4984505
Kurali,30.8314536,76.5784763
Rupnagar,30.9688367,76.526088
Moga,30.8223408,75.1730967
Pahalgam,34.0322048,75.3226479
Ambala,30.3843674,76.770421
Doraha,30.7988727,76.0372906
Sriperumbudur,12.9666144,79.9458077
Poonamallee,13.0492031,80.1010677
Sahnewal,30.8402061,75.983601
Vellore,12.9071753,79.1309695
Jagraon,30.8041704,75.4753645
Gill,30.846374,75.8628312
Dehlon,30.7431327,75.8505198
Nagercoil,8.1880471,77.4290492
Nanguneri,8.4892568,77.6596709
Thiruvananthapuram,8.4882267,76.947551
Nazareth,8.5599258,77.9719457
Vikramasingapuram,8.7141792,77.3892867
Tirunelveli,8.7284271,77.7112925
Alwarkuruchi,8.782604,77.3985651
Kollam,8.8870533,76.5906696
Ayoor,8.8978612,76.8601206
Kulathupuzha,8.9065347,77.0564917
Tenkasi,8.9557896,77.3072559
Kottarakkara,9.0054869,76.7831987
Vilattikulam,9.130928,78.167316
Ettaiyapuram,9.1485222,77.9971639
Sankarankovil,9.170073,77.535369
Puliyangudi,9.1756002,77.3966381
Haripad,9.2844934,76.4562679
Mandapam,9.282701,79.1526713
Sattur,9.3516337,77.9211286
Rajapalayam,9.4456102,77.5542849
Devipattinam,9.4749165,78.8967566
Alappuzha,9.4923271,76.3291487
Aruppukkottai,9.5073229,78.0958971
Virudhunagar,9.58224,77.9537
Thondi,9.7422651,79.0175877
Painavu,9.8540061,76.9446486
Usilampatti,9.9648653,77.7898611
Muvattupuzha,9.9831493,76.5781613
Theni,10.0108143,77.4810104
Melur,10.0309005,78.337589
Angamaly,10.1910284,76.3874109
Natham,10.2256894,78.2299964
Chinnalapatti,10.2767592,77.9218398
Dindigul,10.365646,77.9693256
Thuvarankurichchi,10.3758009,78.3872851
Muthupet,10.3956923,79.4944659
Vedasandur,10.5324146,77.9463173
Udumalapettai,10.5839,77.25
Orathanadu,10.6296502,79.2515516
Kilvelur,10.7690209,79.7421122
Thanjavur,10.7860267,79.1381497
Lalgudi,10.877163,78.8138944
Kodavasal,10.8552828,79.4809565
Musiri,10.951573,78.4419808
Karur,10.9596041,78.0807797
Kumbakonam,10.9604108,79.3820861
Palladam,10.9962313,77.2835582
Thottiyam,10.9891847,78.3354402
Coimbatore,11.0018115,76.9628425
Kangeyam,11.0060598,77.5607403
Thathaiyangarpet,11.121255,78.4496465
Thuraiyur,11.1518947,78.5957098
Ariyalur,11.1357708,79.0723203
Jayankondam,11.2119861,79.3648642
Perambalur,11.2356695,78.8688353
Sendurai,11.2538986,79.1771548
Sendamangalam,11.2812016,78.2350768
Tiruchengodu,11.3786608,77.8949223
Tittakudi,11.402175,79.1210712
Pennadam,11.4028109,79.2416716
Udhagamandalam,11.4126769,76.7030504
Bhavani,11.4405993,77.6824386
Sankagiri,11.4760857,77.8704045
Veeraganur,11.4761379,78.7380844
Parangipettai,11.4905673,79.7568983
Gangavalli,11.499684,78.6447079
Attayampatti,11.531861,78.0508039
Anthiyur,11.575293,77.5886003
Kalpetta,11.610278,76.08281
Kallakurichi,11.7406259,78.9637131
Thiyagadurgam,11.7417773,79.0733496
Mettur,11.7902463,77.7980929
Yercaud,11.7852074,78.2075392
Gundlupet,11.808496,76.6916141
Sankarapuram,11.8873761,78.9166118
Chamarajanagara,11.9238058,76.9393558
Puducherry,11.9340568,79.8306447
Taliparamba,12.0373542,75.3602841
Sreekandapuram,12.0472242,75.5104585
Hanur,12.0870315,77.3017969
Yelanduru,12.0463301,77.0306546
Nileshwaram,12.250817,75.1281569
Nanjanagudu,12.1186851,76.6817502
Kollegal,12.1560966,77.1071726
Tiruvannamalai,12.2343228,79.0761989
Chengam,12.3075866,78.7931408
Periyapatna,12.3372494,76.0988013
Cheyur,12.3521251,80.0037515
Malavalli,12.3864073,77.0589464
Krishnarajanagara,12.438561,76.3836699
Rayakottai,12.5136509,78.0323496
Sulya,12.5576644,75.3907575
Saligrama,12.5601566,76.2628551
Jolarpet,12.5643214,78.5797192
Somwarpet,12.5971883,75.8466865
Krishnarajapete,12.6655205,76.4896194
Channapattana,12.6544559,77.2042594
Subramanya,12.6677868,75.6131771
Vaniyambadi,12.6787174,78.6199879
Anekal,12.7086373,77.6993972
Ramanagara,12.7252766,77.2804797
Arkalgud,12.7627771,76.0623411
Puttur,12.7632858,75.2018421
Holenarasipura,12.7852158,76.2431266
Ullal,12.8181202,74.8459375
Nagamangala,12.8196077,76.7542189
Sarjapura,12.8600866,77.7861352
Shravanabelagola,12.858127,76.4870114
Mangaluru,12.8698101,74.8430082
Kolar Gold Fields,12.9545994,78.2731252
Magadi,12.9567353,77.2242281
Belthangadi,12.9903521,75.2825052
Maluru,13.0060343,77.9382839
Bethamangalam,13.0062969,78.3299172
Moodabidri,13.0699218,74.9977469
Mulki,13.0904094,74.7870474
Arakkonam,13.0839782,79.6700892
Avadi,13.1194809,80.1026704
Kolar,13.1367201,78.1337246
Turuvekere,13.1627196,76.6680675
Mulabagilu,13.1660479,78.3927241
Belur,13.1645671,75.8634851
Karkala,13.2145414,74.9951861
Chittoor,13.2161224,79.0972819
Kalasa,13.2322235,75.3582366
Arasikere,13.3159809,76.256849
Chikkamagaluru,13.318014,75.7738743
Srinivaspur,13.340085,78.2117487
Udupi,13.3419169,74.7473232
Punganuru,13.36385,78.5721781
Sidlaghatta,13.3885218,77.8641332
Chikkanayakanahalli,13.4190772,76.6202776
Chowdepalle,13.4336063,78.6904747
Satyavedu,13.4433561,79.9553361
Sakharayapattana,13.4331791,75.920889
Hebri,13.459429,74.991552
Koratagere,13.5215422,77.2358911
Koppa,13.533207,75.3633986
Kaduru,13.5527523,76.0142384
Chandragiri,13.5842501,79.3166721
Narasimharajapura,13.6107959,75.5117301
Gauribidanuru,13.6114523,77.5167805
Kundapura,13.6250993,74.6915722
Madhugiri,13.6601789,77.2140882
Tirthahalli,13.6901992,75.2463699
Tarikere,13.7062309,75.8183561
Bagepalli,13.7836611,77.7972379
Hosadurga,13.7987759,76.2831034
Hindupur,13.8306127,77.492635
Bhadravathi,13.8502075,75.7037863
Bainduru,13.8662536,74.6270036
Hosanagara,13.916789,75.0657952
Shivamogga,13.9326093,75.574978
Madakasira,13.9405457,77.272588
Venkatagiri,13.957582,79.5809332
Bhatkal,13.9873619,74.5544089
Channagiri,14.0252,75.925
Murdeshwar,14.0959549,74.4883354
Penukonda,14.0846808,77.5966537
Pavagada,14.0994177,77.2804049
Sagara,14.1665017,75.0263852
Santebennur,14.1698888,76.0033586
Kothacheruvu,14.1870879,77.7671355
Talaguppa,14.2148828,74.911064
Honnali,14.2389785,75.6457434
Shikaripura,14.2639661,75.3587796
Honnavar,14.2810827,74.4446716
Challakere,14.3167885,76.6521533
Siddapura,14.3409562,74.8924253
Malebennuru,14.3533447,75.7384255
Siralkoppa,14.381916,75.2487921
Dharmavaram,14.4138405,77.7208432
Kumta,14.4271622,74.4117058
Kovur,14.5036085,79.9868404
Harihara,14.5116874,75.809288
Kalyandurg,14.5517958,77.1119702
Gokarna,14.5439629,74.3184418
Kamalapuram,14.5962938,78.6704194
Sirsi,14.6192362,74.8388611
Ranebennur,14.6165795,75.6341529
Byadagi,14.6719843,75.4858218
Ankola,14.6599889,74.3047846
Badvel,14.7433614,79.0610394
Harapanahalli,14.7880219,75.988032
Hanagalla,14.7653513,75.1244336
Haveri,14.7874825,75.3996731
Kotturu,14.8243692,76.2252832
Karwar,14.8120931,74.1319229
Ramapura,14.8812342,76.7822541
Bankapura,14.9217443,75.2639298
Uravakonda,14.9467802,77.2577907
Yellapura,14.9634438,74.7120788
Mundgod,14.9715262,75.0413079
Chagalamarri,14.9645072,78.5891171
Savanuru,14.9750243,75.3397064
Shiggaon,14.9899007,75.2234815
Huvina Hadagali,15.020624,75.9318973
Hagaribommanahalli,15.0468189,76.2117626
Pamuru,15.0944,79.4138
Lakshmeshvara,15.1248456,75.472885
Kalaghatagi,15.1818921,74.9718465
Mundaragi,15.2051817,75.8840183
Kandukur,15.213,79.9071
Shirahatti,15.234576,75.5791999
Kundagola,15.2565128,75.2478662
Kamalapura,15.3044681,76.4756219
Sirvel,15.3211685,78.5344897
Haliyal,15.3299733,74.7646665
Tanguturu,15.3401504,80.0393196
Kampli,15.4061695,76.604451
Kanigiri,15.4064336,79.5066283
Gadag-Betageri,15.4221812,75.6376639
Annigeri,15.4260116,75.4333351
Gangavathi,15.4308872,76.5319723
Dharwad,15.4540505,75.0066516
Holagunda,15.4884707,77.0462224
Tekkalakote,15.5337852,76.8772225
Valpoi,15.531466,74.1372751
Navalgund,15.5582208,75.3538481
Kanakagiri,15.5696792,76.4189879
Naregalla,15.5736978,75.8078454
Sankhali,15.5626483,74.0114543
Kitturu,15.5993334,74.7878902
Adoni,15.6261417,77.2723701
Yelburga,15.6152511,76.0127786
Siruguppa,15.6345569,76.8937407
Ron,15.6996944,75.7349912
Pernem,15.7166084,73.7972383
Naragunda,15.7220381,75.3846247
Gajendragad,15.7322026,75.9644618
Kushtagi,15.7571579,76.190682
Turavihala,15.7620689,76.5976263
Yemmiganuru,15.7680956,77.4819037
Savadatti,15.7671818,75.1174834
Sindhanur,15.7692192,76.7549604
Vetapalem,15.7807768,80.3070955
Banda,15.8136549,73.8634219
Bailahongala,15.816422,74.8568692
Mantralayam,15.9413643,77.4236981
Munavalli,15.8537336,75.1201998
Nandikotkur,15.8562,78.27
Vengurla,15.8619866,73.6321565
Muragod,15.8910179,74.9310127
Sawantwadi,15.9079601,73.8205306
Ilakal,15.9598085,76.11564
Manvi,15.9967483,77.0481181
Aiza,16.0154973,77.6665729
Kudal,16.0087654,73.6871941
Mudagal,16.012447,76.4410153
Hunagund,16.0618821,76.0603359
Kavitala,16.1074146,76.7943062
Lingasugur,16.1563,76.5242
Lokapura,16.1627427,75.3685939
Siravara,16.1753157,77.02154
Gokak,16.1693033,74.8224338
Raichur,16.1983225,77.3527444
Gadahinglaj,16.2236857,74.3515888
Tenali,16.2377735,80.6464219
Hukkeri,16.230857,74.6029767
Sankeshwara,16.2595741,74.4843495
Kankavali,16.2659486,73.7100588
Gargoti,16.3159183,74.1442177
Bilagi,16.3464175,75.6190861
Muddebihala,16.3351078,76.1339556
Mudhol,16.3338591,75.2870794
Vuyyuru,16.3649657,80.8426132
Mahalingapura,16.3879888,75.1115893
Nippani,16.4020402,74.3842372
Devadurga,16.4210218,76.9330038
Chikkodi,16.4265276,74.5861323
Gudivada,16.4330413,80.9936856
Kolahara,16.4719099,75.695105
Narasapuram,16.4386399,81.7014603
Hunasagi,16.4579407,76.5170932
Talikoti,16.474468,76.311706
Rabakavi Banahatti,16.4787444,75.1201255
Mangalagiri,16.4318209,80.5688069
Piduguralla,16.4822329,79.8856947
Rayabag,16.4916168,74.7741341
Teradala,16.4936178,75.0468551
Tadepalle,16.4791081,80.61834
Jamakhandi,16.503896,75.2910386
Makhtal,16.5010823,77.5133174
Surapura,16.5208523,76.7591995
Kaikaluru,16.5511918,81.213131
Bhimavaram,16.5427689,81.527344
Gannavaram,16.5407546,80.8051601
Gurazala,16.5589293,79.6368235
Basavana Bagevadi,16.5738547,75.9747123
Kagal,16.5750891,74.3152571
Akividu,16.582052,81.3732748
Dachepalli,16.5932206,79.7363829
Mummidivaram,16.6442012,82.1078853
Managoli,16.6523998,75.8127383
Kembhavi,16.6513126,76.5325062
Kurundwad,16.6810968,74.5915436
Shahapura,16.6991627,76.8410045
Gogi,16.73202,76.747477
Narayanpet,16.7477612,77.4949954
Mahbubnagar,16.7434538,77.9923191
Yadgiri,16.7670964,77.1403984
Jaysingpur,16.7789886,74.5564244
Nandigama,16.7734733,80.2855279
Gurumathakal,16.8679694,77.3929333
Tadepallegudem,16.8165294,81.5296984
Devara Hipparagi,16.8159903,76.0650583
Miraj,16.8190307,74.6432382
Vijayapura,16.8269911,75.7175387
Tikota,16.8431559,75.5226828
Lanja,16.8589596,73.5486886
Sangli,16.8502534,74.5948885
Miryalaguda,16.8710119,79.5617353
Jaggayyapeta,16.8930111,80.098646
Sindagi,16.9194778,76.2350305
